timestamp, cpu_user, cpu_system, rss, heapTotal, heapUsed, external
1737465028547, 35480108, 6495964, 232476672, 157347840, 152261056, 3076722
1737465029048, 35480758, 6496082, 232476672, 157347840, 152262784, 3076722
1737465029549, 35481399, 6496200, 232476672, 157347840, 152264512, 3076722
1737465030051, 35482035, 6496316, 232476672, 157347840, 152266240, 3076722
1737465030551, 35482691, 6496436, 232476672, 157347840, 152267968, 3076722
1737465031052, 35483421, 6496496, 232476672, 157347840, 152269696, 3076722
1737465031553, 35484193, 6496496, 232476672, 157347840, 152271424, 3076722
1737465032054, 35484944, 6496496, 232476672, 157347840, 152273128, 3076722
1737465032556, 35485709, 6496496, 232476672, 157347840, 152274832, 3076722
1737465033056, 35486493, 6496496, 232476672, 157347840, 152276536, 3076722
1737465033557, 35487239, 6496496, 232476672, 157347840, 152278240, 3076722
1737465034058, 35488007, 6496496, 232476672, 157347840, 152279944, 3076722
1737465034559, 35488817, 6496496, 232476672, 157347840, 152281648, 3076722
1737465035060, 35489202, 6496949, 232476672, 157347840, 152283352, 3076722
1737465035561, 35489202, 6497706, 232476672, 157347840, 152285080, 3076722
1737465036062, 35489202, 6498462, 232476672, 157347840, 152286784, 3076722
1737465036564, 35489202, 6499235, 232476672, 157347840, 152288488, 3076722
1737465037064, 35489979, 6499235, 232476672, 157347840, 152290192, 3076722
1737465037565, 35490750, 6499235, 232476672, 157347840, 152291896, 3076722
1737465038066, 35491499, 6499235, 232476672, 157347840, 152293600, 3076722
1737465038567, 35492246, 6499255, 232476672, 157347840, 152295304, 3076722
1737465039068, 35492878, 6499371, 232476672, 157347840, 152297032, 3076722
1737465039569, 35493514, 6499487, 232476672, 157347840, 152298760, 3076722
1737465040071, 35494171, 6499607, 232476672, 157347840, 152300488, 3076722
1737465040571, 35494812, 6499725, 232476672, 157347840, 152302216, 3076722
1737465041073, 35495470, 6499845, 232476672, 157347840, 152303944, 3076722
1737465041573, 35496114, 6499963, 232476672, 157347840, 152305672, 3076722
1737465042075, 35496752, 6500080, 232476672, 157347840, 152307400, 3076722
1737465042575, 35497405, 6500200, 232476672, 157347840, 152309128, 3076722
1737465043076, 35498174, 6500260, 232476672, 157347840, 152310856, 3076722
1737465043577, 35498935, 6500260, 232476672, 157347840, 152312584, 3076722
1737465044078, 35499684, 6500260, 232476672, 157347840, 152314288, 3076722
1737465044580, 35500464, 6500260, 232476672, 157347840, 152315992, 3076722
1737465045080, 35501243, 6500260, 232476672, 157347840, 152317696, 3076722
1737465045581, 35501998, 6500260, 232476672, 157347840, 152319400, 3076722
1737465046082, 35502778, 6500260, 232476672, 157347840, 152321104, 3076722
1737465046583, 35503535, 6500260, 232476672, 157347840, 152322808, 3076722
1737465047085, 35504316, 6500260, 232476672, 157347840, 152324512, 3076722
1737465047585, 35505067, 6500260, 232476672, 157347840, 152326216, 3076722
1737465048086, 35505842, 6500260, 232476672, 157347840, 152327920, 3076722
1737465048587, 35506596, 6500260, 232476672, 157347840, 152329624, 3076722
1737465049088, 35507368, 6500260, 232476672, 157347840, 152331328, 3076722
1737465049590, 35508144, 6500260, 232476672, 157347840, 152333032, 3076722
1737465050090, 35508887, 6500260, 232476672, 157347840, 152334736, 3076722
1737465050591, 35509651, 6500260, 232476672, 157347840, 152336440, 3076722
1737465051092, 35510398, 6500260, 232476672, 157347840, 152338144, 3076722
1737465051593, 35511153, 6500260, 232476672, 157347840, 152339848, 3076722
1737465052095, 35511930, 6500260, 232476672, 157347840, 152341552, 3076722
1737465052595, 35512686, 6500260, 232476672, 157347840, 152343256, 3076722
1737465053096, 35513495, 6500260, 232476672, 157347840, 152344960, 3076722
1737465053597, 35514248, 6500260, 232476672, 157347840, 152346664, 3076722
1737465054098, 35514999, 6500260, 232476672, 157347840, 152348368, 3076722
1737465054600, 35515766, 6500260, 232476672, 157347840, 152350072, 3076722
1737465055100, 35516544, 6500260, 232476672, 157347840, 152351776, 3076722
1737465055601, 35517317, 6500260, 232476672, 157347840, 152353480, 3076722
1737465056102, 35518063, 6500260, 232476672, 157347840, 152355184, 3076722
1737465056603, 35518848, 6500260, 232476672, 157347840, 152356888, 3076722
1737465057104, 35519599, 6500260, 232476672, 157347840, 152358592, 3076722
1737465057605, 35520356, 6500260, 232476672, 157347840, 152360296, 3076722
1737465058107, 35521132, 6500260, 232476672, 157347840, 152362000, 3076722
1737465058607, 35521853, 6500287, 232476672, 157347840, 152363704, 3076722
1737465059108, 35522607, 6500348, 232476672, 157347840, 152365432, 3076722
1737465059609, 35523357, 6500348, 232476672, 157347840, 152367160, 3076722
